Target,MRR,nDCG@5,Hit@1,Recall@1,Precision@1,Hit@3,Recall@3,Precision@3,Hit@5,Recall@5,Precision@5
Competency_Aligned_Job_Role,0.9988,0.9991,0.9975,0.9975,0.9975,1.0,1.0,0.3333,1.0,1.0,0.2
Applied_Job_Role,0.2951,0.3815,0.1275,0.1275,0.1275,0.3925,0.3925,0.1308,0.6475,0.6475,0.1295
